METADATA,Execution time: 2025-11-16 19:12:03,,Total projects collected: 1820,Total pages processed: 200,Duration: 43.50 seconds
120,2511-150402-04-01-618584,20251106162401623N,赤峰建源气体有限责任公司新增氢气、甲烷、乙烷、六氟化硫、液氨、混合气、标准气体、氯化氢储存经营项目,工业项目备案（发改）,批复
120,2511-150524-04-01-704661,20251106161339468N,通辽市库伦旗柠条生物质颗粒燃料产业化开发项目,农林牧水项目备案,批复
120,2509-150825-04-01-575783,20251106161139462N,乌拉特后旗锴通建材有限公司年处理300万吨剥岩废石项目,旗县产业类项目备案,批复
120,2509-150430-04-01-661832,20251106160442422N,敖汉旗光伏帮扶电站建设项目（三期）,农牧业项目可行性研究报告审批,批复
120,2411-152501-04-01-919632,20251106091318667N,宏德新建加工萤石矿50万吨/年选厂项目,工业项目备案（发改）,批复
120,2508-150927-04-01-818813,20251106153648282N,内蒙古察右中旗大滩乡2026年街巷道路硬化以工代赈项目,政府投资社会事业项目项目建议书审批,批复
120,2511-150981-04-05-992624,20251106155133352N,丰镇市瑞和府商住小区项目,房地产项目备案,批复
120,2507-150621-60-01-609251,20251106101531968N,内蒙古海华煤炭有限公司江木图南井新建生活区项目,能源类的项目备案,批复
120,2511-150104-89-01-816442,20251106154258315N,内蒙古国轩新能源智慧充换电站项目,加油站、加气站、充电桩项目备案,批复
90,2511-152223-04-01-666273,20251104145939667N,扎赉特旗兄弟牧场育肥牛养殖项目,农林牧水项目备案,批复
90,2511-150626-60-01-186635,20251104145659664N,内蒙古陆众能源有限公司日处理240万方天然气液化及提氦项目,能源类的项目备案,批复
90,2511-150203-04-02-519648,20251104143245605N,包钢股份绿色稀土优特钢升级改建项目,工业项目备案（发改）,批复
90,2511-150203-07-04-575364,20251104142456595N,包钢股份全流程智能制造和成本管控平台建设项目,工业项目备案（工信）,批复
90,2509-150502-04-05-507240,20251104133319364N,通辽市公共安全视频监控建设联网应用二期项目,信息化类项目初步设计审批,批复
90,2511-150303-07-02-942836,20251104132923361N,内蒙古永太化学有限公司年产250吨RATM生产线技改项目,涉及工业企业固定资产投资的备案,批复
90,2511-150303-07-02-159068,20251104132753359N,"内蒙古永太化学有限公司年产2254吨2,4-二氟苯胺制备工艺技改项目",涉及工业企业固定资产投资的备案,批复
90,2511-150428-04-01-112612,20251104115038310N,喀喇沁旗瑞远农副产品加工厂中药材收储加工项目,农林牧水项目备案,批复
90,2511-150624-60-01-656621,20251104114606296N,鄂托克旗庆隆煤业有限责任公司120万吨选煤厂迁建项目,能源类的项目备案,批复
90,2511-152971-89-01-612397,20251104113206255N,阿拉善盟利源新材料有限公司3×32000KVA全密闭富锰渣直流电炉建设项目,工业项目备案（审批局）,批复
153,2510-150123-04-01-524863,20251028101217437N,利用农业有机废弃物、禽畜粪便及城镇生活污泥生物法制作营养土项目,农林牧水项目备案,批复
153,2510-150206-04-02-164090,20251028101035433N,润林苑小区地下官网改造工程,城市基础设施项目备案,批复
153,2510-150204-04-03-984681,20251028100337423N,内蒙古北方重工业集团有限公司燃油叉车更新替代项目,工业项目备案（发改）,批复
153,2510-152502-04-01-122026,20251028100320421N,锡林郭勒盟草原阳光新能源科技有限公司充电桩建设项目,加油站、加气站、充电桩项目备案,批复
153,2505-150271-07-01-701649,20251028095906414N,包头海亮科技有限责任公司年产6000吨半导体晶圆及超精密光学玻璃稀土抛光材料扩建项目,工业项目备案（工信）,批复
153,2510-150204-04-01-197369,20251028095638409N,内蒙古北方重工业集团有限公司50号厂房烟尘治理项目,工业项目备案（发改）,批复
153,2510-152524-04-01-504656,20251028092054305N,新建机动车检测车间及办公室建设项目,旗县产业类项目备案,批复
153,2510-150423-04-01-500148,20251028094157354N,巴林右旗宝日勿苏镇太平村以工代赈塘坝综合治理工程,农牧业项目建议书的审批,批复
153,2510-150302-60-02-201428,20251028093452333N,乌海市广纳洗煤有限公司厂区提升改造工程,能源类的项目备案,批复
153,2510-150102-89-01-710948,20251028092614319N,水泉村农田灌溉蓄水池,农林牧水项目备案,不予许可
180,2510-150271-07-02-189257,20251023144448582N,包头亿力新能源设备制造有限公司废酸、废水深度资源化再利用项目,工业项目备案（工信）,批复
180,2510-150622-20-01-762932,20251023144221564N,准格尔旗邬云飞养殖场养殖项目,农牧业项目备案,批复
180,2510-152524-04-01-995539,20251023143852547N,锰基新材料一体化项目,工业项目备案（发改）,批复
180,2510-152223-04-01-183025,20251023143437542N,扎赉特旗东博畜牧养殖场育肥羊养殖项目,农林牧水项目备案,批复
180,2510-152524-04-01-123446,20251023143300539N,年配套1000台10MW以上风电主机与电弧炉年产50万吨铸钢件项目,工业项目备案（发改）,批复
180,2502-150622-04-01-567932,20251023143107538N,准格尔旗大路镇小滩子村通村路建设项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目可行性研究报告审批,批复
180,2510-152922-04-01-686857,20251023140500517N,内蒙古阿拉腾矿业开发有限公司20万吨/年采矿废石综合回收利用项目,工业项目备案（发改）,批复
180,2502-150121-04-05-670480,20251023133058495N,土默特左旗城镇生活垃圾分类和处理设施提标改造建设项目,环资类备案,不予许可
180,2510-150622-60-01-633655,20251023132542493N,内蒙古自治区鄂尔多斯市准格尔旗沙圪堵镇庙壕村白金亮等3户非自然人户用分布式光伏项目,太阳能热发电项目备案,批复
180,2510-150622-60-01-901666,20251023132105491N,内蒙古自治区鄂尔多斯市准格尔旗沙圪堵镇庙壕村贺三女等3户非自然人户用分布式光伏项目,太阳能热发电项目备案,批复
127,2510-150502-04-05-947846,20251030091141399N,建国新城大酒店新能源汽车充电桩,加油站、加气站、充电桩项目备案,批复
127,2407-150502-04-01-642953,20251030090916397N,通辽市科尔沁殡仪馆新建守灵间项目,政府投资社会事业项目可行性研究报告审批,批复
127,2509-150623-04-01-801119,20251030090742393N,鄂托克前旗人力资源市场建设项目,城乡建设领域初步设计审批,批复
127,2510-152501-04-01-316388,20251030090518391N,二连浩特航空口岸国际航站楼及配套设备设施提升改造工程,城市基础设施项目可行性研究报告审批,批复
127,2510-150502-04-01-747881,20251030084241190N,科尔沁区余粮堡高中综合楼建设项目,政府投资社会事业项目项目建议书审批,批复
127,2506-150422-04-01-492342,20251030082204178N,巴林左旗海力图水库附属配套设施建设项目,农林牧水项目备案,批复
127,2510-150207-04-01-311934,20251029230041174N,包头市云畅物流有限公司充电桩项目,加油站、加气站、充电桩项目备案,批复
127,2510-150207-04-01-490781,20251029224641171N,内蒙古福鑫联顺商贸有限公司充电桩项目,加油站、加气站、充电桩项目备案,批复
127,2510-150207-04-01-329276,20251029214405168N,内蒙古驿多物流有限责任有限公司新能源充电桩项目,加油站、加气站、充电桩项目备案,批复
127,2504-150825-04-01-111276,20251029203140144N,乌拉特后旗县域医共体资源共享中心建设项目,政府投资社会事业项目可行性研究报告审批,批复
7,2508-150203-04-01-340855,20251114110436534N,榆树沟一般工业固体废弃物填埋场（一期）,旗县产业类项目备案,批复
7,2511-150525-04-01-953360,20251114110316526N,奈曼天然碱产业园物流连接线项目,政府投资社会事业项目项目建议书审批,批复
7,2511-150207-04-01-434963,20251114110152508N,酚类产品回收利用生产线及20000吨粗酚精制项目,工业项目备案（发改）,不予许可
7,2511-152922-04-01-587069,20251114105800492N,内蒙古华腾新能源（三一重能）装备制造项目,工业项目备案（发改）,批复
7,2511-150205-04-01-811692,20251114105610487N,包头胜林玄纤科技有限公司新建年产3万吨连续玄武岩纤维及4.3万吨高性能复合材料项目,旗县产业类项目备案,批复
7,2511-150622-04-01-806805,20251114104311276N,内蒙古久隆新科技有限公司粮食仓储项目,仓储物流类项目备案,批复
7,2210-150502-04-05-363666,20251114103446213N,内蒙古华曜新能源有限责任公司海珀丽昂酒店汽车充电站项目,加油站、加气站、充电桩项目备案,
7,2309-150502-04-05-209875,20251114102314143N,内蒙古华曜新能源有限责任公司通辽市西拉木伦公园汽车充电站项目,加油站、加气站、充电桩项目备案,
7,2511-150103-04-01-169980,20251114101531991N,呼和浩特市回民区模块化消防站建设项目,建设项目及业务用房建设项目项目建议书审批（党政机关及事业单位办公楼项目除外）,
7,2511-150522-04-01-843800,20251114100654960N,科尔沁左翼后旗巴嘎塔拉苏木鸿升家庭农牧场建设项目,农林牧水项目备案,批复
160,2510-150502-04-01-320704,20251027145821886N,科尔沁区角干浮选砂厂集中式快速充电站项目,加油站、加气站、充电桩项目备案,批复
160,2510-150271-04-01-401915,20251027145354878N,包头市四道沙河至二道沙河排污口综合整治工程,城市基础设施项目可行性研究报告审批,批复
160,2510-150525-04-01-321217,20251027145230876N,奈曼旗蒙达粮贸有限公司粮食仓储改建项目,仓储物流类项目备案,不予许可
160,2510-150703-04-01-215760,20251027144621869N,扎赉诺尔区西站广场及周边配套基础设施提升改造工程,城市基础设施项目建议书审批,批复
160,2510-150781-04-01-849303,20251027144603868N,满洲里市城区管网建设工程,城市基础设施项目初步设计审批,批复
160,2510-150502-04-01-452571,20251027143537853N,北岸华庭小区新能源汽车充电桩,加油站、加气站、充电桩项目备案,不予许可
160,2510-150502-04-01-455662,20251027142216830N,安华小区新能源汽车充电桩,加油站、加气站、充电桩项目备案,批复
160,2508-150727-04-02-110720,20251027122250773N,赛汗智慧农机制造与数字拆解创新基地建设项目,农林牧水项目备案,批复
160,2510-150123-04-05-521146,20251027120814769N,京能盛乐热电入厂煤无人化验项目,能源类的项目备案,批复
160,2510-150824-60-01-111644,20251027120809767N,巴彦淖尔德岭山40万千瓦/160万千瓦时电网侧独立储能电站,能源类的项目备案,批复
165,2511-150624-60-01-231255,20251026153130878N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇召稍村王万财40KW非自然人户用式光伏项目,光伏电站项目备案,批复
165,2511-150624-60-01-895976,20251026152915876N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇召稍村贺连祥40KW非自然人户用式光伏项目,光伏电站项目备案,批复
165,2511-150624-60-01-781465,20251026152504874N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇木凯淖尔村孙喜兰40KW非自然人户用式光伏项目,光伏电站项目备案,批复
165,2511-150624-60-01-433952,20251026151742870N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇木凯淖尔村李玉祥40KW非自然人户用式光伏项目,光伏电站项目备案,批复
165,2511-150624-60-01-214776,20251026151458868N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇木凯淖尔村张元旦40KW非自然人户用式光伏项目,光伏电站项目备案,批复
165,2511-150624-60-01-873389,20251026151224866N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇伊克乌素村韩广祥40KW非自然人户用式光伏项目,光伏电站项目备案,批复
165,2511-150624-60-01-557847,20251026150609864N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇伊克乌素村李玉山40KW非自然人户用式光伏项目,光伏电站项目备案,批复
165,2511-150624-60-01-428324,20251026150218862N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇伊克乌素村张玉喜40KW非自然人户用式光伏项目,光伏电站项目备案,批复
165,2511-150624-60-01-216047,20251026145547860N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇白音淖尔村李兰才40KW非自然人户用式光伏项目,光伏电站项目备案,批复
165,2511-150624-60-01-894512,20251026145232858N,鄂尔多斯市扬泰公司鄂托克旗木凯淖尔镇伊克乌素村刘彬40KW非自然人户用式光伏项目,光伏电站项目备案,批复
37,2401-150627-04-05-431193,20251111090701846N,宏泰·新能苑工程建设项目,房地产项目备案,批复
37,2511-150303-07-02-266234,20251111104726332N,乌海市广源洗煤有限责任公司智能工厂技术改造项目,工业项目备案（工信）,批复
37,2401-150627-04-05-604044,20251111091014872N,宏泰·乌金苑工程建设项目,房地产项目备案,批复
37,2511-150302-04-01-959296,20251111104354319N,乌海市永屹商砼有限责任公司年产30万立方米商品混凝土搅拌站项目,工业项目备案（发改）,批复
37,2511-150621-60-01-794430,20251111104344315N,鄂尔多斯市腾超能源有限公司达拉特旗吉格斯太镇十二倾地村东十二社张四毛眼分布式光伏发电项目,光伏电站项目备案,批复
37,2511-150123-04-01-537379,20251111104236308N,和林格尔县贺俊龙种养殖场山羊、绵羊养殖项目,农林牧水项目备案,批复
37,2511-150621-60-01-126482,20251111103624290N,鄂尔多斯市腾超能源有限公司达拉特旗白泥井镇七分子村邬家圪堵社武永等2处分布式光伏发电项目,光伏电站项目备案,批复
37,2511-150502-04-05-102344,20251111102820280N,科尔沁区2025年莫力庙羊场侯建忠光伏发电项目,光伏电站项目备案,批复
37,2511-150502-04-05-302586,20251111102505274N,科尔沁区2025年莫力庙郭金玉光伏发电项目,光伏电站项目备案,批复
37,2511-150622-60-01-871669,20251111101218224N,内蒙古自治区鄂尔多斯市准格尔旗苗正中自然人户用分布式光伏项目,太阳能热发电项目备案,批复
42,2511-150622-60-01-455349,20251110172125117N,内蒙古自治区鄂尔多斯市准格尔旗李刚自然人户用分布式光伏项目,太阳能热发电项目备案,批复
42,2511-150802-04-01-133124,20251110171455997N,巴彦淖尔临河区狼山35千伏变电站2号主变增容工程,能源类的项目备案,批复
42,2510-150425-04-01-396534,20251110170703954N,乌兰布统苏木草原假日酒店改建项目,社会事业项目备案,批复
42,2510-150425-04-01-685647,20251110170838968N,乌兰布统苏木龙脉假日酒店改建项目,社会事业项目备案,批复
42,2511-150105-04-01-849890,20251110170306917N,内蒙古丰塬新能源有限公司秋实学院里停车场充电站项目,加油站、加气站、充电桩项目备案,批复
42,2511-150123-04-01-465346,20251110165507884N,和林格尔县2025年暴雨洪涝灾害灾后应急恢复项目,城市基础设施项目可行性研究报告审批,批复
42,2511-150104-89-01-816442,20251110165347875N,内蒙古国轩新能源智慧充换电站项目,加油站、加气站、充电桩项目备案,批复
42,2511-150524-04-01-940495,20251110164740838N,科尔沁沙地生态修复治理种养循环一体化项目,农林牧水项目备案,批复
42,2407-150571-04-01-764310,20251110163505764N,内蒙古通辽经济技术开发区新城第四幼儿园建设项目,政府投资社会事业项目可行性研究报告审批,批复
42,2511-152921-04-01-411873,20251110163245749N,中盐内蒙古化工股份有限公司盐碱分公司新建吉兰泰固废场项目,工业项目备案（发改）,批复
46,2511-150429-04-01-165726,20251110144745214N,宁城县天义镇2026年以工代赈乡村道路建设项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目可行性研究报告审批,批复
46,2511-150602-04-01-511777,20251110144706212N,东胜区西部矿井水综合利用水网连通及节水改造工程,涉及资源循环利用项目建议书审批,批复
46,2511-150102-89-03-647089,20251110144104201N,华侨新村充电站,加油站、加气站、充电桩项目备案,批复
46,2511-150623-07-02-189598,20251110143826194N,内蒙古恒坤化工有限公司环保超低排放升级改造项目,工业项目备案（工信）,批复
46,2511-150423-04-05-984824,20251110143708191N,内蒙古东荣农牧业科技有限公司5万只罕山白绒山羊高效繁育技术示范推广项目配套工程项目,农林牧水项目备案,批复
46,2511-150102-89-03-437859,20251110143537181N,聚泽园充电站,加油站、加气站、充电桩项目备案,批复
46,2511-150429-04-01-914181,20251110142405153N,宁城县必斯营子镇以工代赈河道治理工程,重点流域水污染防治项目可行性研究报告审批,批复
46,2511-150429-04-01-466017,20251110142204151N,宁城县忙农镇2026年以工代赈乡村道路建设项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目可行性研究报告审批,批复
46,2511-150105-04-02-323516,20251110141634137N,硅材料加工关键技术成果应用及其技术改造项目,工业项目备案（发改）,批复
46,2404-150172-04-01-345340,20251110141428130N,内蒙古联盛工程技术有限公司新型脚手架建设项目,工业项目备案（发改）,批复
50,2509-150823-04-02-547547,20251110100736500N,乌拉特前旗第一中学改善办学条件教学楼改扩建项目,政府投资社会事业项目初步设计审批,
50,2511-150927-04-01-455502,20251110094936463N,察右中旗库伦苏木2026年防洪治理以工代赈项目,重点流域水污染防治项目项目建议书审批,批复
50,2511-150423-04-01-378145,20251110094641447N,巴林右旗查干诺尔镇查干诺尔嘎查以工代赈通组路项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目可行性研究报告审批,不予许可
50,2511-150122-04-01-837685,20251110094231438N,内蒙古金达威药业有限公司配套建设智能五金库项目,仓储物流类项目备案,批复
50,2511-150429-04-01-117760,20251110094108433N,宁城县大双庙镇以工代赈小型基础设施建设项目,不跨旗县农村公路（旗县级及以下公路）、独立公路桥梁、隧道项目可行性研究报告审批,批复
50,2509-150571-04-01-294501,20251110091847389N,通辽经济技术开发区自来水泵房、换热站改造项目,城市基础设施项目可行性研究报告审批,批复
50,2511-150622-20-01-629744,20251110090923364N,准格尔旗崔碰树种养殖场养殖项目,农牧业项目备案,批复
50,2505-150204-04-02-247539,20251110090422348N,内蒙古电力（集团）有限责任公司包头供电分公司2026年计量装置轮换工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
50,2511-150622-20-01-363099,20251110085651331N,准格尔旗刘荣种养殖场养殖项目,农牧业项目备案,批复
50,2511-150624-60-01-941416,20251110084631307N,鄂尔多斯市君正能源化工有限公司自备电厂光伏电站储能项目,能源类的项目备案,批复
13,2511-150502-04-01-226461,20251113112039162N,2025年科尔沁区民主路批发城南停车场充电站项目,加油站、加气站、充电桩项目备案,批复
13,2511-150603-04-01-435595,20251113111954160N,康巴什区第七中学新建项目（高中部）,政府投资社会事业项目项目建议书审批,批复
13,2511-150502-04-01-209590,20251113111544137N,2025年科尔沁铁南红光大街枫景家园北门停车场充电站项目,加油站、加气站、充电桩项目备案,批复
13,2511-150923-04-01-308811,20251113110737113N,商都县小海子镇以工代赈通村公路建设项目,不跨旗县农村公路（旗县级及以下公路）、独立桥梁、隧道项目项目建议书审批,批复
13,2511-152502-04-01-360077,20251113110604994N,锡林浩特市木言商贸有限公司重卡充电站建设项目,旗县产业类项目备案,批复
13,2511-150428-04-01-184779,20251113110600992N,喀喇沁旗乃林镇牛羊肉深加工高标准厂房建设项目,农牧业项目建议书的审批,批复
13,2511-150502-04-01-394894,20251113110028982N,内蒙古三淼食品加工有限公司畜牧养殖屠宰加工项目,农林牧水项目备案,批复
13,2511-150522-04-01-582862,20251113105950977N,茂道吐苏木哈根潮海嘎查文化广场建设项目,社会事业项目备案,批复
13,2511-150902-04-01-132055,20251113105746961N,乌兰察布市集宁区2026年第一批农村电网巩固提升10千伏及以下工程项目,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
13,2511-150802-04-01-201351,20251113105536942N,王会军66KW户用分布式光伏发电项目,光伏电站项目备案,批复
97,2511-150203-04-01-999703,20251103174239730N,阿尔丁110千伏输变电工程,《核准目录（2017）》规定的除国务院投资主管部门、自治区投资主管部门核准外，其余电网工程项目核准,批复
97,2511-150782-04-01-781643,20251103173840720N,牙克石市博克图镇雅鲁山建筑石料矿,旗县产业类项目备案,批复
97,2511-150622-04-01-901337,20251103172901696N,准格尔旗公安局基层基础业务用房建设项目,建设项目及业务用房建设项目项目建议书审批（党政机关及事业单位办公楼项目除外）,批复
97,2511-150926-89-01-781994,20251103172219676N,乌兰察布市察右前旗水毁修复工程,农林牧水项目可行性研究报告审批,批复
97,2511-150102-89-01-855825,20251103172125673N,呼和浩特市新城区恰西变新建10千伏开闭站、百合变分别新建1回10千伏线路送出工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
97,2511-152998-89-01-409157,20251103171958657N,腾格里蒙宁交界光伏治沙项目“标准地”建设项目,城市基础设施项目可行性研究报告审批,批复
97,2511-152530-04-01-494462,20251103171721647N,内蒙古自治区锡林郭勒盟正蓝旗档案史志馆室内消防设施工程建设项目,城市基础设施项目建议书审批,批复
97,2511-150926-89-01-679905,20251103171427639N,乌兰察布市察右前旗水毁河道清淤工程,农林牧水项目可行性研究报告审批,批复
97,2509-150926-89-01-557739,20251103170953618N,首都厨房·察右前旗农产品保供枢纽建设项目,城市基础设施项目初步设计审批,批复
97,2412-150402-04-05-244085,20251103165923591N,主、次路排水管线改造工程,住房和城乡建设领域初步设计审批,批复
40,2511-150902-04-02-587500,20251110230118542N,乌兰察布供电公司2026年营销计量装置轮换工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
40,2511-150403-04-01-297157,20251110225929540N,元宝山产业园2025年排水管网提升改造工程,城市基础设施项目建议书审批,批复
40,2511-150927-04-01-455502,20251110223304537N,察右中旗库伦苏木2026年防洪治理以工代赈项目,重点流域水污染防治项目可行性研究报告审批,批复
40,2511-150902-04-01-139511,20251110193022468N,乌兰察布市集宁区洪涝灾害抢险设备及应急恢复项目,城市基础设施项目可行性研究报告审批,批复
40,2511-150122-04-02-681778,20251110180833418N,呼和浩特市托克托供电分公司2026年计量装置轮换工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
40,2511-150124-04-02-290437,20251110180359391N,呼和浩特市清水河供电分公司2026年计量装置轮换工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
40,2511-150125-04-02-590528,20251110180108363N,呼和浩特市武川供电分公司2026年计量装置轮换工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
40,2511-150121-04-02-576327,20251110175934348N,呼和浩特市土左供电分公司2026年计量装置轮换工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
40,2511-150123-04-02-219844,20251110175553335N,呼和浩特市和林供电分公司2026年计量装置轮换工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
40,2511-150102-89-02-198526,20251110175419332N,呼和浩特市科技城供电分公司2026年计量装置轮换工程,交流电网通信、配电柜、电表等电气升级改造工程备案,批复
114,2510-150524-04-05-127430,20251031111516394N,库伦旗公益性公墓建设项目,政府投资社会事业项目项目建议书审批,批复
114,2511-150121-04-01-157274,20251031111401392N,内蒙古工业大学（金川校区）低碳绿色校园示范项目,光伏电站项目备案,批复
114,2510-150524-04-05-497926,20251031105853365N,库伦旗“库颐康荞”中心敬老院建设护理型床位项目,政府投资社会事业项目项目建议书审批,批复
114,2511-152201-04-03-587559,20251031105715360N,年产12万吨ISCC认证生物质颗粒加工项目,能源类的项目备案,批复
